Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,title,details,image_url,year,decadef,type,tool,rgb_colors,hex_colors
28,28,28,28,28,Building Pershing Square,1964 - oil on canvas 58x58 in.,https://www.hockney.com/img/gallery/paintings/60s/64A32.jpg,1964,1960s,paintings,,"[[194, 184, 161], [156, 150, 134], [126, 125, 108], [104, 84, 63], [20, 96, 49]]","['#c2b8a1', '#9c9686', '#7e7d6c', '#68543f', '#146031']"
29,29,29,29,29,Picture of a Hollywood Swimming Pool,1964 - acrylic on canvas 36x48 in.,https://www.hockney.com/img/gallery/paintings/60s/64A34.jpg,1964,1960s,paintings,,"[[220, 196, 161], [237, 226, 194], [162, 172, 188], [104, 125, 168], [66, 81, 116]]","['#dcc4a1', '#ede2c2', '#a2acbc', '#687da8', '#425174']"
30,30,30,30,30,"Domestic Scene, Los Angeles",1963 - oil on canvas 60x60 in.,https://www.hockney.com/img/gallery/paintings/60s/63A37.jpg,1963,1960s,paintings,,"[[209, 182, 155], [188, 158, 127], [147, 127, 99], [15, 12, 14], [54, 53, 53]]","['#d1b69b', '#bc9e7f', '#937f63', '#0f0c0e', '#363535']"
31,31,31,31,31,Play Within A Play,1963 - oil on canvas and plexi 72x78 in.,https://www.hockney.com/img/gallery/paintings/60s/63A18.jpg,1963,1960s,paintings,,"[[139, 168, 204], [145, 131, 122], [193, 173, 156], [70, 70, 64], [63, 111, 146]]","['#8ba8cc', '#91837a', '#c1ad9c', '#464640', '#3f6f92']"
32,32,32,32,32,First Marriage (A Marriage of Styles 1),1962 - oil on canvas 70x60 in.,https://www.hockney.com/img/gallery/paintings/60s/62A13.jpg,1962,1960s,paintings,,"[[200, 180, 156], [188, 158, 129], [89, 78, 75], [39, 34, 26], [101, 136, 135]]","['#c8b49c', '#bc9e81', '#594e4b', '#27221a', '#658887']"
33,33,33,33,33,Grand Procession of Dignitaries n the Semi-Egyptian Style,1961 - oil on canvas 84x144 in.,https://www.hockney.com/img/gallery/paintings/60s/61A42.jpg,1961,1960s,paintings,,"[[172, 144, 134], [27, 24, 38], [237, 224, 213], [76, 70, 96], [155, 67, 56]]","['#ac9086', '#1b1826', '#ede0d5', '#4c4660', '#9b4338']"
34,34,34,34,34,"The Cha Cha That Was Danced in The Early Hours of 24th March, 1961",oil on canvas 68x60 1/2 in.,https://www.hockney.com/img/gallery/paintings/60s/61B07.jpg,,1960s,paintings,,"[[141, 81, 48], [159, 110, 58], [65, 89, 110], [55, 48, 40], [222, 195, 159]]","['#8d5130', '#9f6e3a', '#41596e', '#373028', '#dec39f']"
35,35,35,35,35,We two Boys Together Clinging Together,1961 - oil on board 48x60 in.,https://www.hockney.com/img/gallery/paintings/60s/61B04.jpg,1961,1960s,paintings,,"[[190, 196, 204], [155, 137, 150], [101, 128, 189], [158, 85, 88], [97, 73, 81]]","['#bec4cc', '#9b8996', '#6580bd', '#9e5558', '#614951']"
36,36,36,36,36,Doll Boy,1960 - oil on canvas 48x39 in.,https://www.hockney.com/img/gallery/paintings/60s/61B13.jpg,1960,1960s,paintings,,"[[149, 92, 58], [144, 27, 20], [207, 172, 141], [91, 71, 61], [42, 36, 36]]","['#955c3a', '#901b14', '#cfac8d', '#5b473d', '#2a2424']"
37,37,37,37,37,Adhesiveness,1960 - oil on board 50x40 in.,https://www.hockney.com/img/gallery/paintings/60s/60A37.jpg,1960,1960s,paintings,,"[[163, 147, 142], [28, 28, 28], [130, 113, 110], [187, 76, 50], [62, 57, 59]]","['#a3938e', '#1c1c1c', '#82716e', '#bb4c32', '#3e393b']"
38,38,38,38,38,Going To Be A Queen For Tonight,1960 - oil on board 48x36 in.,https://www.hockney.com/img/gallery/paintings/60s/60B02.jpg,1960,1960s,paintings,,"[[31, 29, 27], [69, 54, 50], [107, 93, 85], [119, 28, 17], [179, 164, 146]]","['#1f1d1b', '#453632', '#6b5d55', '#771c11', '#b3a492']"
39,39,39,39,39,Divine,1979 - acrylic on canvas 60x60 in.,https://www.hockney.com/img/gallery/paintings/70s/79G35.jpg,1979,1970s,paintings,,"[[18, 37, 94], [12, 127, 136], [119, 37, 72], [212, 103, 103], [195, 192, 198]]","['#12255e', '#0c7f88', '#772548', '#d46767', '#c3c0c6']"
